College,Email,Domain
Southwest University Of Visual Arts,admissions@suva.edu,suva
Southwestern Adventist University,admissions@swau.edu,swau
Southwestern Assemblies Of God University,admissions@sagu.edu,sagu
Southwestern Christian University,admissions@swcu.edu,swcu
Southwestern College,scadmit@sckans.edu,sckans
Southwestern Oklahoma State University,admissions@swosu.edu,swosu
Southwestern University,admission@southwestern.edu,southwestern
Spalding University,admissions@spalding.edu,spalding
Spelman College,admissions@spelman.edu,spelman
Spring Arbor University,admissions@arbor.edu,arbor
Spring Hill College,admit@shc.edu,shc
Springfield College,admissions@springfieldcollege.edu,springfieldcollege
St Ambrose University,admit@sau.edu,sau
St Andrews University,admissions@sa.edu,sa
St Anthony College Of Nursing,admissions@sacn.edu,sacn
St Bonaventure University,admissions@sbu.edu,sbu
St Catherine University,admissions@stkate.edu,stkate
St Cloud State University,scsu4u@stcloudstate.edu,stcloudstate
St Edwards University,seu.admit@stedwards.edu,stedwards
St Francis College,admissions@sfc.edu,sfc
St Francis Medical Center College Of Nursing,conadmissions@osfhealthcare.org,osfhealthcare
St John Fisher College,admissions@sjfc.edu,sjfc
St Johns College,annapolis.admissions@sjc.edu,sjc
St Johns College,santafe.admissions@sjc.edu,sjc
St Johns College Md,admissions@sjc.edu,sjc
St Johns University,admhelp@stjohns.edu,stjohns
St Josephs College Brooklyn,brooklynas@sjcny.edu,sjcny
St Josephs College Brooklyn Campus,bkadmissions@sjcny.edu,sjcny
St Josephs College Long Island Campus,liadmissions@sjcny.edu,sjcny
St Josephs College New York Long Island,longislandas@sjcny.edu,sjcny
St Lawrence University,admissions@stlawu.edu,stlawu
St Louis Christian College,admissions@stlchristian.edu,stlchristian
St Louis College Pharmacy,admissions@stlcop.edu,stlcop
St Marys College,admissions@smcm.edu,smcm
St Marys University Of San Antonio,uadm@stmarytx.edu,stmarytx
St Norbert College,admit@snc.edu,snc
St Olaf College,admissions@stolaf.edu,stolaf
St Petersburg College,information@spcollege.edu,spcollege
St Thomas Aquinas College,admissions@stac.edu,stac
St Thomas University,signup@stu.edu,stu
St Thomas University,international@stu.ca,stu
St Thomas University,admissions@stu.ca,stu
Stanford University,admission@stanford.edu,stanford
Stephen F Austin State University,admissions@sfasu.edu,sfasu
Stephens College,apply@stephens.edu,stephens
Sterling College,admission@sterlingcollege.edu,sterlingcollege
Sterling College,admissions@sterling.edu,sterling
Stetson University,admissions@stetson.edu,stetson
Stevens Institute Technology,admissions@stevens.edu,stevens
Stevenson University,admissions@stevenson.edu,stevenson
Stillman College,admissions@stillman.edu,stillman
Stockton University,admissions@stockton.edu,stockton
Stonehill College,admission@stonehill.edu,stonehill
Suffolk University,admission@suffolk.edu,suffolk
Sul Ross State University,admissions@sulross.edu,sulross
Sungkyunkwan University,undergrad@skku.edu,skku
Suny Alfred State College,admissions@alfredstate.edu,alfredstate
Suny Binghamton University,admit@binghamton.edu,binghamton
Suny Buffalo State College,admissions@buffalostate.edu,buffalostate
Suny Cobleskill,admissions@cobleskill.edu,cobleskill
Suny College Brockport,admit@brockport.edu,brockport
Suny College Environmental Science Forestry,esfinfo@esf.edu,esf
Suny College Geneseo,admissions@geneseo.edu,geneseo
Suny College Old Westbury,enroll@oldwestbury.edu,oldwestbury
Suny College Oneonta,admissions@oneonta.edu,oneonta
Suny College Technology Canton,admissions@canton.edu,canton
Suny Cortland,admissions@cortland.edu,cortland
Suny Delhi,enroll@delhi.edu,delhi
Suny Empire State College,admissions@esc.edu,esc
Suny Farmingdale State College,admissions@farmingdale.edu,farmingdale
Suny Fredonia,admissions@fredonia.edu,fredonia
Suny Maritime College,admissions@sunymaritime.edu,sunymaritime
Suny Morrisville State College,admissions@morrisville.edu,morrisville
Suny New Paltz,admissions@newpaltz.edu,newpaltz
Suny Oswego,admiss@oswego.edu,oswego
Suny Plattsburgh,admissions@plattsburgh.edu,plattsburgh
Suny Polytechnic Institute,admissions@sunyit.edu,sunyit
Suny Potsdam,admissions@potsdam.edu,potsdam
Suny Purchase College,admissions@purchase.edu,purchase
Suny Stony Brook University,enroll@stonybrook.edu,stonybrook
Suny University Albany,ugadmissions@albany.edu,albany
Suny University Buffalo,ub-admissions@buffalo.edu,buffalo
Susquehanna University,suadmiss@susqu.edu,susqu
Swarthmore College,admissions@swarthmore.edu,swarthmore
Sweet Briar College,admissions@sbc.edu,sbc
Syracuse University,orange@syr.edu,syr
Tabor College,admissions@tabor.edu,tabor
Talladega College,admissions@talladega.edu,talladega
Tarleton State University,uadm@tarleton.edu,tarleton
Taylor University,admissions@taylor.edu,taylor
Temple University,tuadm@temple.edu,temple
Temple University Japan Campus,ac@tuj.temple.edu,temple
Tennessee State University,admissions@tnstate.edu,tnstate
Tennessee Technological University,admissions@tntech.edu,tntech
Tennessee Wesleyan University,admissions@tnwesleyan.edu,tnwesleyan
Texas Am International University,adms@tamiu.edu,tamiu
Texas Am University College Station,admissions@tamu.edu,tamu
Texas Am University Commerce,admissions@tamuc.edu,tamuc
Texas Am University Corpus Christi,admiss@tamucc.edu,tamucc
Texas Am University Kingsville,admissions@tamuk.edu,tamuk
Texas Am University Texarkana,admissions@tamut.edu,tamut
Texas Christian University,frogmail@tcu.edu,tcu
Texas College,admissions@texascollege.edu,texascollege
Texas Lutheran University,applicant@tlu.edu,tlu
Texas Lutheran University,admissions@tlu.edu,tlu
Texas Southern University,admissions@tsu.edu,tsu
Texas State University,admissions@txstate.edu,txstate
Texas Tech University,admissions@ttu.edu,ttu
Texas University Of The Rio Grande Valley,admissions@utrgv.edu,utrgv
Texas Wesleyan University,admissions@txwes.edu,txwes
Texas Womans University,admissions@twu.edu,twu
The American College Of Greece,admissions@acg.edu,acg
The American University In Cairo,enrolauc@aucegypt.edu,aucegypt
The Boston Conservatory,conservatoryadmissions@berklee.edu,berklee
The Citadel,admissions@citadel.edu,citadel
The College of Idaho,admissions@collegeofidaho.edu,collegeofidaho
The College Of St Rose,admit@mail.strose.edu,strose
The Kings College,admissions@tkc.edu,tkc
The Masters University And Seminary,admissions@masters.edu,masters
The New School College Of Performing Arts,performingarts@newschool.edu,newschool
The Sage Colleges,admission@sage.edu,sage
The University Of Alabama,admissions@ua.edu,ua
The University Of Alabama Huntsville,uahadmissions@uah.edu,uah
The University Of British Columbia,admissions.inquiry@ubc.ca,ubc
The University Of Montana,admiss@umontana.edu,umontana
The University Of Montana Western,admissions@umwestern.edu,umwestern
The University Of Mount Olive,admissions@umo.edu,umo
The University Of New Mexico,apply@unm.edu,unm
The University Of Texas Of The Permian Basin,admissions@utpb.edu,utpb
The University Of The Arts,admissions@uarts.edu,uarts
The University Of Utah,admissions@utah.edu,utah
Thiel College,admissions@thiel.edu,thiel
Thomas Aquinas College,admissions@thomasaquinas.edu,thomasaquinas
Thomas College,admiss@thomas.edu,thomas
Thomas Edison State University,admissions@tesu.edu,tesu
Thomas More College,admissions@thomasmore.edu,thomasmore
Thomas University,rgagliano@thomasu.edu,thomasu
Tiffin University,admiss@tiffin.edu,tiffin
Toccoa Falls College,admissions@tfc.edu,tfc
Tougaloo College,admissions@tougaloo.edu,tougaloo
Touro College,lasadmit@adminm.touro.edu,touro
Towson University,admissions@towson.edu,towson
Transylvania University,admissions@transy.edu,transy
Trevecca Nazarene University,admissions_und@trevecca.edu,trevecca
Trine University,admit@trine.edu,trine
Trinity Baptist College,admissions@tbc.edu,tbc
Trinity Christian College,admissions@trnty.edu,trnty
Trinity College,admissions.office@trincoll.edu,trincoll
Trinity College Of Florida,admissions@trinitycollege.edu,trinitycollege
Trinity College Of Nursing Health Sciences,lori.perez@trinitycollegeqc.edu,trinitycollegeqc
Trinity International University,admissions@tiu.edu,tiu
Trinity University,admissions@trinity.edu,trinity
Trinity Washington University,admissions@trinitydc.edu,trinitydc
Troy University,admit@troy.edu,troy
Truett Mcconnell University,admissions@truett.edu,truett
Truman State University,admissions@truman.edu,truman
Tufts University,undergraduate.admissions@tufts.edu,tufts
Tulane University,undergrad.admission@tulane.edu,tulane
Tusculum College,admissions@tusculum.edu,tusculum
Tusculum University,admission@tusculum.edu,tusculum
Tuskegee University,admissions@mytu.tuskegee.edu,tuskegee
Union College,admissions@union.edu,union
Union College,enrollme@unionky.edu,unionky
Union College,ucenroll@ucollege.edu,ucollege
Union Institute University,admissions@myunion.edu,myunion
Union University,info@uu.edu,uu
United States Air Force Academy,rr_webmail@usafa.edu,usafa
United States Coast Guard Academy,admissions@uscga.edu,uscga
United States Merchant Marine Academy,admissions@usmma.edu,usmma
United States Military Academy,admissions-info@usma.edu,usma
United States Naval Academy,inquire@usna.edu,usna
Unity College,admissions@unity.edu,unity
Universidad Adventista De Las Antillas,admissions@uaa.edu,uaa
Universidad Carlos Iii De Madrid,prospectivestudents@uc3m.es,uc3m
Universidad Del Este Une,ue_rfuentes@suagm.edu,suagm
Universidad Del Sagrado Corazon,kcastillo@sagrado.edu,sagrado
Universidad Del Turabo,admisiones-ut@suagm.edu,suagm
University Of Advancing Technology,admissions@uat.edu,uat
University Of Akron Main Campus,admissions@uakron.edu,uakron
University Of Alabama Birmingham Uab,chooseuab@uab.edu,uab
University Of Alaska Anchorage,admissions@alaska.edu,alaska
University Of Alaska Fairbanks,admissions@uaf.edu,uaf
University Of Alaska Southeast,admissions@uas.alaska.edu,uas.alaska
University Of Alberta,ian.reade@ualberta.ca,ualberta
University Of Arizona,admissions@arizona.edu,arizona
University Of Arkansas,uofa@uark.edu,uark
University Of Arkansas At Fort Smith,admissions@uafs.edu,uafs
University Of Arkansas At Little Rock,admissions@ualr.edu,ualr
University Of Arkansas At Monticello,admissions@uamont.edu,uamont
University Of Arkansas At Pine Bluff,owasoyop@uapb.edu,uapb
University Of Baltimore,admissions@ubalt.edu,ubalt
University Of Bridgeport,admit@bridgeport.edu,bridgeport
University Of Calgary,future.students@ucalgary.ca,ucalgary
University Of California At Merced,admissions@ucmerced.edu,ucmerced
University Of California Davis,undergraduateadmissions@ucdavis.edu,ucdavis
University Of California Irvine,admissions@uci.edu,uci
University Of California Riverside,admissions@ucr.edu,ucr
University Of California Santa Barbara,admissions@sa.ucsb.edu,ucsb
University Of California Santa Cruz,admissions@ucsc.edu,ucsc
University Of Central Arkansas,admissions@uca.edu,uca
University Of Central Florida,admissions@ucf.edu,ucf
University Of Central Missouri,admit@ucmo.edu,ucmo
University Of Central Oklahoma,onestop@uco.edu,uco
University Of Charleston,admissions@ucwv.edu,ucwv
University Of Chicago,collegeadmissions@uchicago.edu,uchicago
University Of Cincinnati,admissions@uc.edu,uc
University Of Cincinnati Blue Ash College And Clermont College,admissions@ucblueash.edu,ucblueash
University Of Cincinnati Clermont College,clermont.admissions@uc.edu,uc
University Of College Dublin,northamerica@ucd.ie,ucd
University Of Colorado Boulder,admissions@colorado.edu,colorado
University Of Colorado Colorado Springs,go@uccs.edu,uccs
University Of Colorado Denver,admissions@ucdenver.edu,ucdenver
University Of Connecticut,beahusky@uconn.edu,uconn
University Of Dallas,crusasder@udallas.edu,udallas
University Of Dallas,ugadmis@udallas.edu,udallas
University Of Dayton,admission@udayton.edu,udayton
University Of Delaware,admissions@udel.edu,udel
University Of Denver,admission@du.edu,du
University Of Detroit Mercy,admissions@udmercy.edu,udmercy
University Of Dubuque,admssns@dbq.edu,dbq
University Of Evansville,admission@evansville.edu,evansville
University Of Findlay,admissions@findlay.edu,findlay
University Of Florida,webrequests@admissions.ufl.edu,ufl
University Of Georgia,adm-info@uga.edu,uga
University Of Guam,admitme@triton.uog.edu,uog
University Of Guelph,intapps@uoguelph.ca,uoguelph
University Of Hartford,admission@hartford.edu,hartford
University Of Hawaii At Hilo,uhhadm@hawaii.edu,hawaii
University Of Hawaii At Manoa,manoa.admissions@hawaii.edu,hawaii
University Of Hawaii West Oahu,uhwo.admissions@hawaii.edu,hawaii
University Of Holy Cross,admissions@uhcno.edu,uhcno
University Of Hong Kong,admissions@hku.hk,hku
University Of Houston,admissions@uh.edu,uh
University Of Houston Clear Lake,admissions@uhcl.edu,uhcl
University Of Houston Downtown,uhdadmit@uhd.edu,uhd
University Of Houston Victoria,admissions@uhv.edu,uhv
University Of Idaho,admissions@uidaho.edu,uidaho
University Of Idaho,admappl@uidaho.edu,uidaho
University Of Illinois At Chicago,admit@uic.edu,uic
University Of Illinois Chicago,admissions@uic.edu,uic
University Of Illinois Springfield,admissions@uis.edu,uis
University Of Indianapolis,admissions@uindy.edu,uindy
University Of Iowa,admissions@uiowa.edu,uiowa
University Of Jamestown,admissions@uj.edu,uj
University Of Kansas,admissions@ku.edu,ku
University Of Kentucky,admissions@uky.edu,uky
University Of La Verne,admission@laverne.edu,laverne
University Of Lethbridge,admissions@uleth.ca,uleth
University Of Limerick,international@ul.ie,ul
University Of Louisiana At Lafayette,admissions@louisiana.edu,louisiana
University Of Louisiana At Monroe,admissions@ulm.edu,ulm
University Of Louisville,admitme@louisville.edu,louisville
University Of Lynchburg,admissions@lynchburg.edu,lynchburg
University Of Maine,umaineadmissions@maine.edu,maine
University Of Maine At Augusta,umaadm@maine.edu,maine
University Of Maine Augusta,umaadmin@maine.edu,maine
University Of Maine Farmington,umfadmit@maine.edu,maine
University Of Maine Fort Kent,umfkadm@maine.edu,maine
University Of Maine Machias,ummadmissions@maine.edu,maine
University Of Maine Presque Isle,umpi-admissions@maine.edu,maine
University Of Maine Presque Isle,admissions@maine.edu,maine
University Of Mary,enroll@umary.edu,umary
University Of Mary Hardin Baylor,admission@umhb.edu,umhb
University Of Mary Washington,admit@umw.edu,umw
University Of Maryland Baltimore County,admissions@umbc.edu,umbc
University Of Maryland Eastern Shore,umesadmissions@umes.edu,umes
University Of Maryland University College,admissions@umuc.edu,umuc
University Of Massachusetts Boston,enrollment.info@umb.edu,umb
University Of Massachusetts Boston,undergrad.admissions@umb.edu,umb
University Of Massachusetts Dartmouth,admissions@umassd.edu,umassd
University Of Massachusetts Lowell,admissions@uml.edu,uml
University Of Memphis,recruitment@memphis.edu,memphis
University Of Miami,admission@miami.edu,miami
University Of Michigan Dearborn,umd-admissions@umich.edu,umich
University Of Michigan Flint,admissions@umflint.edu,umflint
University Of Michigan Shanghai Jiao Tong University Of Joint Institute,ji-intadm@sjtu.edu.cn,sjtu
University Of Minnesota At Crookston,umcinfo@umn.edu,umn
University Of Minnesota Duluth,umdadmis@d.umn.edu,umn
University Of Minnesota Morris,admissions@morris.umn.edu,umn
University Of Minnesota Rochester,applyumr@r.umn.edu,umn
University Of Minnesota Twin Cities,admissions@umn.edu,umn
University Of Missouri,askmizzou@missouri.edu,missouri
University Of Missouri Columbia,mu4u@missouri.edu,missouri
University Of Missouri Kansas City,admit@umkc.edu,umkc
University Of Missouri St Louis,admissions@umsl.edu,umsl
University Of Mobile,umenrollment@umobile.edu,umobile
University Of Montevallo,admissions@montevallo.edu,montevallo
University Of Mount Union,admission@mountunion.edu,mountunion
University Of Nebraska Kearney,admissionsug@unk.edu,unk
University Of Nebraska Lincoln,admissions@unl.edu,unl
University Of Nebraska Omaha,unoadmissions@unomaha.edu,unomaha
University Of Nevada Las Vegas Unlv,admissions@unlv.edu,unlv
University Of Nevada Reno,asknevada@unr.edu,unr
University Of New England,admissions@une.edu,une
University Of New Hampshire,admissions@unh.edu,unh
University Of New Hampshire,manchester@unh.edu,unh
University Of New Haven,admissions@newhaven.edu,newhaven
University Of New Orleans,admission@uno.edu,uno
University Of North Alabama,admissions@una.edu,una
University Of North Carolina Asheville,admissions@unca.edu,unca
University Of North Carolina At Pembroke,admissions@uncp.edu,uncp
University Of North Carolina Chapel Hill,unchelp@admissions.unc.edu,unc
University Of North Carolina Charlotte,admissions@uncc.edu,uncc
University Of North Carolina Greensboro,admissions@uncg.edu,uncg
University Of North Carolina School Of The Arts,admissions@uncsa.edu,uncsa
University Of North Carolina Wilmington,admissions@uncw.edu,uncw
University Of North Dakota,admissions@und.edu,und
University Of North Florida,admissions@unf.edu,unf
University Of North Georgia,admissions-dah@ung.edu,ung
University Of North Texas,unt.freshman@unt.edu,unt
University Of Northern Colorado,admissions@unco.edu,unco
University Of Northern Iowa,admissions@uni.edu,uni
University Of Northwestern St Paul,admissions@unwsp.edu,unwsp
University Of Notre Dame,admissions@nd.edu,nd
University Of Oklahoma,admissions@ou.edu,ou
University Of Oregon,uoadmit@uoregon.edu,uoregon
University Of Pacific,admission@pacific.edu,pacific
University Of Pennsylvania,info@admissions.upenn.edu,upenn
University Of Pikeville,wewantyou@upike.edu,upike
University Of Pittsburgh,oafa@pitt.edu,pitt
University Of Pittsburgh At Bradford,nazemetz@pitt.edu,pitt
University Of Pittsburgh At Greensburg,upgadmit@pitt.edu,pitt
University Of Pittsburgh At Johnstown,upjadmit@pitt.edu,pitt
University Of Portland,admissions@up.edu,up
University Of Providence,admissions@uprovidence.edu,uprovidence
University Of Puerto Rico Arecibo,admisiones.arecibo@upr.edu,upr
University Of Puerto Rico Bayamon,admisiones.bayamon@upr.edu,upr
University Of Puerto Rico Ponce,emily.matos@upr.edu,upr
University Of Puget Sound,admission@pugetsound.edu,pugetsound
University Of Redlands,admissions@redlands.edu,redlands
University Of Rhode Island,admission@uri.edu,uri
University Of Richmond,admission@richmond.edu,richmond
University Of Rio Grande,admissions@rio.edu,rio
University Of Rochester,admit@admissions.rochester.edu,rochester
University Of Saint Francis Fort Wayne Indiana,admis@sf.edu,sf
University Of Saint Joseph,admissions@usj.edu,usj
University Of San Diego,admissions@sandiego.edu,sandiego
University Of San Francisco,admissions@usfca.edu,usfca
University Of Saskatchewan,admissions@usask.ca,usask
University Of Science And Arts Of Oklahoma,usao-admissions@usao.edu,usao
University Of Sciences,admit@usciences.edu,usciences
University Of Scranton,admissions@scranton.edu,scranton
University Of Sioux Falls,admissions@usiouxfalls.edu,usiouxfalls
University Of South Alabama,admiss@southalabama.edu,southalabama
University Of South Carolina Aiken,admit@usca.edu,usca
University Of South Carolina Beaufort,admissions@uscb.edu,uscb
University Of South Carolina Columbia,admissions-ugrad@sc.edu,sc
University Of South Carolina Upstate,admissions@uscupstate.edu,uscupstate
University Of South Dakota,admissions@usd.edu,usd
University Of South Florida,admissions@usf.edu,usf
University Of South Florida Sarasota Manatee,admissions@sar.usf.edu,usf
University Of Southern Indiana,enroll@usi.edu,usi
University Of Southern Maine,admitusm@maine.edu,maine
University Of Southern Mississippi,admissions@usm.edu,usm
University Of St Francis Il,admissions@stfrancis.edu,stfrancis
University Of St Mary,admiss@stmary.edu,stmary
University Of St Thomas,admissions@stthom.edu,stthom
University Of St Thomas Mn,admissions@stthomas.edu,stthomas
University Of Tampa,admissions@ut.edu,ut
University Of Tennessee At Chattanooga,utcmocs@utc.edu,utc
University Of Tennessee At Martin,admitme@utm.edu,utm
University Of Tennessee Knoxville,admissions@utk.edu,utk
University Of Texas At Arlington,admissions@uta.edu,uta
University Of Texas At Dallas,interest@utdallas.edu,utdallas
University Of Texas At El Paso,futureminer@utep.edu ,utep
University Of Texas At San Antonio,prospects@utsa.edu,utsa
University Of Texas At Tyler,admissions@uttyler.edu,uttyler
University Of The Cumberlands,admiss@ucumberlands.edu,ucumberlands
University Of The District Of Columbia,udcadmissions@udc.edu,udc
University Of The Incarnate Word,admis@uiwtx.edu,uiwtx
University Of The Ozarks,admiss@ozarks.edu,ozarks
University Of The Pacific,admissions@pacific.edu,pacific
University Of The Southwest,admission@usw.edu,usw
University Of The Virgin Islands,admissions@uvi.edu,uvi
University Of Toledo,enroll@utoledo.edu,utoledo
University Of Toronto,admissions.help@utoronto.ca,utoronto
University Of Tulsa,admission@utulsa.edu,utulsa
University Of Vermont,admissions@uvm.edu,uvm
University Of Virginia,undergradadmission@virginia.edu,virginia
University Of Virginias College Wise,admissions@uvawise.edu,uvawise
University Of Washington Bothell,uwbinfo@uw.edu,uw
University Of Washington Tacoma,uwtinfo@uw.edu,uw
University Of West,admission@uwest.edu,uwest
University Of West Alabama,admissions@uwa.edu,uwa
University Of West Florida,admissions@uwf.edu,uwf
University Of West Georgia,admiss@westga.edu,westga
University Of Windsor,admissions@uwindsor.ca,uwindsor
University Of Wisconsin Eau Claire,admissions@uwec.edu,uwec
University Of Wisconsin Green Bay,admissions@uwgb.edu,uwgb
University Of Wisconsin La Crosse,admissions@uwlax.edu,uwlax
University Of Wisconsin Milwaukee,uwmlook@uwm.edu,uwm
University Of Wisconsin Oshkosh,admissions@uwosh.edu,uwosh
University Of Wisconsin Parkside,admissions@uwp.edu,uwp
University Of Wisconsin Platteville,admit@uwplatt.edu,uwplatt
University Of Wisconsin River Falls,admissions@uwrf.edu,uwrf
University Of Wisconsin Stevens Point,admiss@uwsp.edu,uwsp
University Of Wisconsin Stout,admissions@uwstout.edu,uwstout
University Of Wisconsin Superior,admissions@uwsuper.edu,uwsuper
University Of Wisconsin Whitewater,uwwadmit@uww.edu,uww
University Of Wyoming,admissions@uwyo.edu,uwyo
Upper Iowa University,ADMISSION@uiu.edu,uiu
Urbana University ,admissions@urbana.edu,urbana
Ursinus College,admission@ursinus.edu,ursinus
Ursuline College,admission@ursuline.edu,ursuline
Utah State University,admit@usu.edu,usu
Utah Valley University,admissions@uvu.edu,uvu
Utica College,admiss@utica.edu,utica
Valdosta State University,admissions@valdosta.edu,valdosta
Valley City State University,enrollment.services@vcsu.edu,vcsu
Valparaiso University,undergrad.admission@valpo.edu,valpo
Vanderbilt University,admissions@vanderbilt.edu,vanderbilt
Vandercook College Of Music,admissions@vandercook.edu,vandercook
Vanguard University Of Southern California,admissions@vanguard.edu,vanguard
Vassar College,admissions@vassar.edu,vassar
Vaughn College Of Aeronautics And Technology,admitme@vaughn.edu,vaughn
Vermont Technical College,admissions@vtc.edu,vtc
Villanova University,gotovu@villanova.edu,villanova
Virginia Commonwealth University,ugrad@vcu.edu,vcu
Virginia Military Institute,admissions@vmi.edu,vmi
Virginia Polytechnic Institute And State University,admissions@vt.edu,vt
Virginia State University,admiss@vsu.edu,vsu
Virginia Union University,admissions@vuu.edu,vuu
Virginia University Of Lynchburg,admissions@vul.edu,vul
Virginia Wesleyan University,admissions@vwu.edu,vwu
Viterbo University,admission@viterbo.edu,viterbo
Voorhees College,admissions@voorhees.edu,voorhees
Wabash College,admissions@wabash.edu,wabash
Wagner College,admissions@wagner.edu,wagner
Wake Forest University,admissions@wfu.edu,wfu
Waldorf University,admissions@waldorf.edu,waldorf
Walla Walla University,admiss1@wallawalla.edu,wallawalla
Walsh University,admissions@walsh.edu,walsh
Warner Pacific University,admission@warnerpacific.edu,warnerpacific
Warner Pacific University,admissions@warnerpacific.edu,warnerpacific
Warner University,admissions@warner.edu,warner
Warren Wilson College,admit@warren-wilson.edu,warren-wilson
Wartburg College,admissions@wartburg.edu,wartburg
Washburn University,admissions@washburn.edu,washburn
Washington Adventist University,enroll@wau.edu,wau
Washington And Lee University,admissions@wlu.edu,wlu
Washington College,wc_inquiries@washcoll.edu,washcoll
Washington College,wc_admissions@washcoll.edu,washcoll
Washington Jefferson College,admission@washjeff.edu,washjeff
Washington State University,admissions@wsu.edu,wsu
Washington University of St Louis,admissions@wustl.edu,wustl
Watkins College Art Design Film,admissions@watkins.edu,watkins
Wayland Baptist University,admityou@wbu.edu,wbu
Wayne State College,admit1@wsc.edu,wsc
Wayne State University,admissions@wayne.edu,wayne
Waynesburg University,admissions@waynesburg.edu,waynesburg
Webb Institute,admissions@webb.edu,webb
Webber International University,admissions@webber.edu,webber
Weber State University,admissions@weber.edu,weber
Webster University,admit@webster.edu,webster
Welch College,recruit@welch.edu,welch
Wellesley College,admissions@wellesley.edu,wellesley
Wells College,admissions@wells.edu,wells
Wentworth Institute Technology,admissions@wit.edu,wit
Wesley College,admissions@wesley.edu,wesley
Wesleyan College,admissions@wesleyancollege.edu,wesleyancollege
Wesleyan University,admission@wesleyan.edu,wesleyan
West Chester University,ugadmiss@wcupa.edu,wcupa
West Liberty University,admissions@westliberty.edu,westliberty
West Texas Am University,admissions@wtamu.edu,wtamu
West Virginia State University,admissions@wvstateu.edu,wvstateu
West Virginia University,wvuadmissions@mail.wvu.edu,wvu
West Virginia University,go2wvu@mail.wvu.edu,wvu
West Virginia University Institute Of Technology,tech-admissions@mail.wvu.edu,wvu
West Virginia University Parkersburg,admissions@wvup.edu,wvup
West Virginia Wesleyan College,admissions@wvwc.edu,wvwc
Western Carolina University,admiss@wcu.edu,wcu
Western Connecticut State University,admissions@wcsu.edu,wcsu
Western Illinois University,admissions@wiu.edu,wiu
Western Kentucky University,admission@wku.edu,wku
Western Michigan University,admissions-info@wmich.edu,wmich
Western Michigan University,ask-wmu@wmich.edu,wmich
Western New England University,cwystepe@wne.edu,wne
Western New Mexico University,admissions@wnmu.edu,wnmu
Western Oregon University,worlfgram@wou.edu,wou
Western State Colorado University,admissions@western.edu,western
Western State Colorado University,discover@western.edu,western
Western University,reg-admissions@uwo.ca,uwo
Western Washington University,admit@wwu.edu,wwu
Westfield State University,admissions@westfield.ma.edu,ma
Westminster College,admis@westminster.edu,westminster
Westminster College Missouri,admissions@westminster-mo.edu,westminster-mo
Westminster College Utah,admission@westminstercollege.edu,westminstercollege
Westmont College,admissions@westmont.edu,westmont
Wheaton College Il,admissions@wheaton.edu,wheaton
Wheaton College Massachusetts,admission@wheatoncollege.edu,wheatoncollege
Wheeling Jesuit University,admiss@wju.edu,wju
Whitman College,admission@whitman.edu,whitman
Whittier College,admission@whittier.edu,whittier
Whitworth University,admissions@whitworth.edu,whitworth
Wichita State University,admissions@wichita.edu,wichita
Widener University,admissions.office@widener.edu,widener
Wilberforce University,admission@wilberforce.edu,wilberforce
Wilkes Honors College,hcadmissions@fau.edu,fau
Wilkes University,admissions@wilkes.edu,wilkes
Willamette University,bearcat@willamette.edu,willamette
William Carey University,admissions@wmcarey.edu,wmcarey
William Jessup University,admissions@jessup.edu,jessup
William Jewell College,admission@william.jewell.edu,jewell
William Paterson University Nj,admissions@wpunj.edu,wpunj
William Peace University,admissions@peace.edu,peace
William Penn University,admissions@wmpenn.edu,wmpenn
William Woods University,admissions@williamwoods.edu,williamwoods
Williams Baptist College,admissions@wbcoll.edu,wbcoll
Williams College,admission@williams.edu,williams
Wilmington College,admissions@wilmington.edu,wilmington
Wilmington University,infocenter@wilmu.edu,wilmu
Wilson College,admissions@wilson.edu,wilson
Wingate University,admit@wingate.edu,wingate
Winona State University,admissions@winona.edu,winona
Winston Salem State University,admissions@wssu.edu,wssu
Winthrop University,admissions@winthrop.edu,winthrop
Wisconsin Lutheran College,admissions@wlc.edu,wlc
Wittenberg University,admission@wittenberg.edu,wittenberg
Wofford College,admission@wofford.edu,wofford
Woodbury University,info@woodbury.edu,woodbury
Worcester Polytechnic Institute,admissions@wpi.edu,wpi
Worcester State University,admissions@worcester.edu,worcester
Wright State University,admissions@wright.edu,wright
Wright State University Lake Campus,discoverlakecampus@wright.edu,wright
Wyoming Catholic College,admissions@wyomingcatholiccollege.com,wyomingcatholiccollege
Xavier University,xuadmit@xavier.edu,xavier
Xavier University,admissions@xula.edu,xula
Xavier University Of Louisiana,apply@xula.edu,xula
Yale Nus College,admissions@yale-nus.edu.sg,yale-nus
Yale University,student.questions@yale.edu,yale
Yeshiva University,yuadmit@yu.edu,yu
York College,admissions@ycp.edu,ycp
York College,enroll@york.edu,york
York University,intlenq@yorku.ca,yorku
Young Harris College,admissions@yhc.edu,yhc
Youngstown State University,enroll@ysu.edu,ysu
