Domain,College Name,Are undocumented students considered international or domestic?,Are you need-blind for undocumented students?,Are there any restrictions on merit aid for undocumented students at your school?,Does your school provide merit aid specially for undocumented students?,Would you advise an undocumented student to reveal their status in their application or subsequent email?,How would their status affect their application?,Is there a special contact point for undocumented students?,What other piece of advice would you give an undocumented student hoping for admission at your school?,Other Admissions Information,Are undocumented students eligible for need-based aid?,"What financial aid application should undocumented students send? The CSS, FAFSA, ISFAA or a form unique to your school?","If need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",What would be the requirements for such scholarships and what would a student's chances of getting them?,Other Financial Aid Information,Are there organized groups or clubs comprised of or advocating for undocumented students in your school?,How often does your office receive applications from undocumented students?,Does your school allow Immigration and Customs Enforcement (ICE) officers onto campus without a warrant?,Does the campus police enforce immigration law?,Does your school share student immigration status with ICE?,Does your school provide distance-learning options for deported students to complete their degrees?,Does your school provide confidential legal support to students with immigration law questions and issues?,Other Student Life Information,Has undocu-student webpage,Other Information,Special Contact,Gives aid?
ric,Rhode Island College,"This may depend on how long the student has been living in the USA. It also depends on the address that the student lists in their application to the college. Obviously, if the student’s address is international then they will be considered an international student. If the student is applying internationally, we do need to start visa paperwork, but Dr. Mascorro knows way more about this than me.",,"I do not believe there is any merit aid for undocumented students, but Dr. Mascorro can best answer this question",Not as far as I am aware,,No effect,,,This is up to the student entirely,,,,,,,,,,,,,,,,Dr. Karina Mascorro. Advisor for international students. kmascorro@ric.edu,0
rice,Rice University,,,,,,,,,,,,,,,,,,,,,,,,"Rice University welcomes all applicants and considers candidates for undergraduate admission without regard to nationality or citizenship, including undocumented students with Deferred Action for Childhood Arrivals (DACA) status at the time of admission and those without DACA status who have studied in the us for a minimum of 5 years, who have or will graduate from a U.S. high school and who have lived in the U.S. for an extended period of time.
Undocumented students who have been granted DACA status at the time of admission and undocumented students who do not hold DACA status but have or will graduate from a U.S. high school and who have lived in the U.S. for an extended period of time are considered domestic students. For domestic students, Rice University practices need-blind admissions and meets the full demonstrated financial need of admitted students through a combination of scholarship awards, work study and available loans.
We have some well developed resources for DACA and Undocumented Students on our website - much of the information is in bullet form, so hopefully you can find whatever information you are looking for:

https://daca.rice.edu/

https://daca.rice.edu/undocumented-students-faq

https://daca.rice.edu/support

https://daca.rice.edu/campus-resources",,1
rocky,Rocky Mountain College,Undocumented students are considered domestic students.,Admission consideration for all students is need-blind.,"There are no restrictions on merit aid for undocumented students. However, should a student be receiving military or full athletic aid, the student would no longer be eligible for an academic merit award.","There is not a specific merit scholarship for undocumented students. All students, regardless of status, are eligible for merit aid.",,,The Vice President for Enrollment: mapstona@rocky.edu,I advise all students to visit and work directly with the enrollment staff to ensure a smooth transition.,,Yes and no. There are specific endowed scholarships available specifically for undocumented students as well as appeal based aid.,,"Outside of institutional and any available Federal aid, RMC offers payment plan options to help cover remaining balances.",Payment plans are available to all students.,"If able, we recommend all students file and submit the FAFSA. RMC's school code 002534",Student clubs and organizations vary from year to year depending on the makeup and interests of the student body.,We receive a number of applications from undocumented students every year.,ICE would not be invited onto campus without a warrant.,RMC does not employ campus police but does maintain a campus safety office. Their role is to enact personal safety protocols across campus.,The institution does not provide legal or immigration status with any outside entity unless legally compelled to do so.,RMC does not provide distance learning in general as instruction is primarily focused on one-on-one interactions.,The institution would assist students in finding appropriate legal support but would not incur any expense on behalf of the student.,,,,mapstona@rocky.edu,0
st-aug,Saint Augustines University,International students,All international students must summit a Financial Affidavit of Support from their Bank that will cover 4 years or/ 8 semester at our University.,They cannot receive federal or state funds,NO,,Very little,,Apply,The Office of Admissions is the contact point for all student's c/o Mr. Coley,Not at this Point,,See answer 3 under Admission Process,,,We support all our students!,,n/a,Our campus enforces the LAW,n/a,,n/a,,,,,0
slu,Saint Louis University,,We are need blind for admission,no,all students when they apply are reviewed for scholarships as we review their application for admission,,,Their admission counselor assigned to where they live would be their admission counselor,We will help them in any way we can.,,Students can do a paper fafsa. We can download it and send it to us through a paper option.,,They can apply for any of the additional scholarships we have available too (there are two of them),(requirements are listed here and if they meet qualifications they will be fully considered: https://www.slu.edu/financial-aid/types-of-aid/scholarships.php),"FAFSA, paper only",,We receive many of them each year,,,,,,,,,,0
sdcc,San Diego Christian College,,"Yes, we do not have scholarships specifically for undocumented students",,,,It would make sure an admissions counselor who has knowledge on undocumented students gets to work with the student.,,"If you live in California, please apply for the California dream act BEFORE march 2nd.",,,,N/A but we do have other non-merit and non-need-based scholarships available,Ability to write an essay or connect with leadership in your community,Its actually more a matter of conversation with a financial aid advisor.,,,,,,,,,,,,0
SDSU,San Diego State University,They can be considered domestic and qualify for resident tuition prices if they qualify for AB-540.,I recommend that you contact the Office of Financial Aid and Scholarships for this inquiry: https://sacd.sdsu.edu/financial-aid,I recommend that you contact the Office of Financial Aid and Scholarships for this inquiry: https://sacd.sdsu.edu/financial-aid,I recommend that you contact the Office of Financial Aid and Scholarships for this inquiry: https://sacd.sdsu.edu/financial-aid,,,You can find the contact information for our Undocumented Resource Center here: https://sacd.sdsu.edu/undocumented-resource,"One thing to keep in mind is that the application process is not that different from a documented student. I recommend they fill out the application as accurately as possible and if we need further information, we will contact the student. In addition, residency is not determined for undergraduate students unless they are admitted. If they have an ""X"" as their residency status after they apply, just know it will be determined if they are admitted.",,,,,,,,,,,,,,,,,,1
tufts,School Of The Museum Of Fine Arts Boston,,,,,,,,,,,,,,,,,,,,,,,,"All the information regarding admissions, financial aid and student life policies for undocumented students can be found here.
https://admissions.tufts.edu/apply/undocumented-students/",,1
sva,School Of Visual Arts,,,,,,,,,,,,,,,,,,,,,,,,"SVA does not discriminate against potential applicants by their background or immigration status. This will not be considered for your application, and you have no need to worry about that. Your status will not be revealed or marked anywhere if you wish to be so, as we do not record statuses unless we are helping to support that status, such as an F1 student studying with SVA that we must record their status since we are supporting them to maintain it.",,0
shu,Seton Hall University,-Domestic,-We are need-blind for all students,"-No! Merit based scholarship is purely based on high school GPA and test scores (if applicable), undocumented students can apply test-optional","-No, since they can receive the same level of merit-aid as every other student.",,,"-No, they will be assigned a counselor based on their address","-Feel comfortable asking questions, we are here to help and do not report status to ICE or any other immigration enforcement agency.",,"-If in New Jersey, they may be eligible by filing the NJ Alternative Financial Aid Application found here https://www.hesaa.org/Pages/NJAlternativeApplication.aspx",,-Every student is welcome to apply for our range of stackable scholarships found here https://www.shu.edu/undergraduate-admissions/scholarships.cfm,"-The University Scholarship is the main merit-based scholarship and reviewed automatically. If accepted to Seton Hall, it is very likely they will receive a University Scholarship. The other scholarships are more competitive and their requirements can be found at the link above.",-We only use the FAFSA for need based aid,"-I am not aware of a specific club solely focusing on this issue, but some of our cultural, political and social justice clubs do advocate for undocumented students. A full list of our clubs and organizations can be found here https://www.shu.edu/student-organizations/student-organizations-a-z.cfm.","-Through the Seton Hall application or Common App, like every other student. Those can be found here https://www.shu.edu/undergraduate-admissions/applying.cfm.",-No,-No,-No,"-Not traditionally, but more options may become available as a result of the pandemic",-Not that I am aware of,,,,,0
setonhill,Seton Hill University,"Undocumented students are considered international students, but there are scholarships for these students (it's not specific to undocumented students, but all international students)",We are need blind and do not consider financial aid for admission into the university,,"The only aid available is merit, and it's one scholarship. however, you could apply to other scholarships like Honors",,,"There is no specific contact for undocumented students, but you can contact me directly since I handle international students",,You can reveal your undocumented status and it will not affect anything,,,,,"Everyone is awarded a merit scholarship, but we do not award more than that","We have student run clubs - MISO (Multicultural and International Student Organization) is one, they focus on various causes. It is student led.",We don't track how many undocumented student applications,ICE can come to campus anytime. It is not up to the college/university.,The campus police question isn't applicable to ICE.,We use SEVIS and sharing immigration status hasn't happened.,"We are mostly an on-campus school. During COVID we offer more online learning, but that will likely go away in the future. We do have Adult Degree Program degrees which can be done fully online.","We do not offer legal services for students, and this hasn't happened, but we would likely refer students to legal counsel.",,,,,0
smith,Smith College,,,,,,,,,"Undocumented and Deferred Action for Childhood Arrivals (DACA) students follow the procedures and requirements for first-year or transfer admission. They are evaluated in the same way as U.S. citizens and U.S. permanent residents. SAT I or ACT and SAT II scores are optional. Undocumented and DACA students should indicate “Non-citizen” or “Other” in the citizenship field on the Common Application. Because we want to obtain a comprehensive picture of the student’s background and experiences in the context of her school and community, we encourage undocumented and DACA applicants to disclose their citizenship status in the application. Undocumented and DACA students may apply under any admission plan, including Early Decision.",,,,,"Smith meets 100 percent of the demonstrated need of all admitted students who apply for financial aid by the published deadlines. Because federal financial aid is not available for undocumented and DACA students, Smith provides institutional, need-based financial aid in its place.",,,,,,,,,,Find more information regarding Smith's policies on undocumented students here: https://www.smith.edu/sites/default/files/media/Undocumented%20Students%20Handout.pdf,,0
siue,Southern Illinois University Edwardsville,"Undocumented students go through the domestic admission process.
An affidavit is required (not for admission) to ensure that undocumented students are assessed the domestic tuition rate. This form can be accessed at www.siue.edu/undocumented. Students are encouraged to submit this completed form with their admission documents. SIUE offers in-state tuition to all domestic undergraduate students including undocumented students. The tuition rate assessed for the first semester is locked in for four years. Fees also include basic textbooks as SIUE offers a textbook rental system. Cost of attendance is available at www.siue.edu/payingforcollege.","All admission decisions for domestic students including undocumented are based solely on academic criteria (i.e. cumulative GPA). No finances are requested, reviewed, or considered.","Undocumented students can be considered for all merit based awards offered by Undergraduate Admissions. Visit www.siue.edu/scholarships for more specific information on scholarships.
Scholarships currently are available for fall entry only. December 1 is the priority deadline for freshmen and March 1 for transfer students.","No, but undocumented students can be considered for all merit based awards offered by Undergraduate Admissions.",,"Undocumented students go through the same admission process as domestic students. The only additional item that needs to be submitted is the affidavit as described above. This simply is to ensure they receive the domestic tuition rate and this can be received post admission, but we recommend submitting it with admission documents.","Our entire team serves undocumented students, so I encourage visiting our website at www.siue.edu/undergraduate/counselor/index.shtml to determine the admission counselor for the student’s school as that is the individual that they will work closely with through the enrollment process. Direct contact information for all team members is included on our website.","Reach out to us early and often with any questions that you have. We are here for you and more than happy to help in any way possible. We are part of your support system!
Our admission application for fall launches June 1 (i.e. June 1, 2021 for fall 2022), so this gives you the summer prior to your senior year to apply. For transfer students, the application goes live one year prior to the start of the semester. Apply early to ensure scholarship consideration. Our application is available online at www.siue.edu/apply.
Utilize our website designed especially for undocumented students at www.siue.edu/undocumented as this is a great resource.","Students must answer on the admission application whether they are a U.S. citizen. We do recommend specifying undocumented as that helps us know what additional items (if any) are required. For example, students that are permanent residents must provide a copy of their permanent residency card for admission. This would not apply to undocumented students, so communicating the student’s status will ensure we do not add this as a required item to their admission checklist.",Students living in Illinois can complete the Alternative Application for Illinois Financial Aid. This allows undocumented students to be reviewed for the Illinois Monetary Award Program (MAP) grant. Visit www.siue.edu/undocumented (bottom of the page).,,"As noted in the Admissions section, undocumented students can be considered for all merit based awards offered by Undergraduate Admissions. More details are available at www.siue.edu/scholarships. At the bottom of this website, there are resources that can be utilized to find additional internal and external awards.","The website (www.siue.edu/scholarships) is the best resource to reference in case any requirements change from year to year. If students meet the criteria for the Cougar Pride and Johnetta Haley Scholarships, this will be awarded at the time of admission. The Meridian Scholarship (freshmen only) is very competitive and requires a holistic review. For fall 2021, we had close to 1,200 applicants for this award. 210 were invited to interview and 20 scholarships were awarded.",The form noted above is what students must submit if they reside in Illinois.,The Center for Student Diversity and Inclusion (CSDI) is a key resource on our campus and serves as a tremendous advocate for students. CSDI offers a variety of events and programming throughout the academic year. More information can be found on their website at www.siue.edu/csdi/.,We received applications for undocumented students every year.,"ICE officers are allowed on campus, but we would need a valid warrant to provide any information.",No. Campus Police serve to provide a safe community for all individuals on campus.,"SIUE provides SEVP, through SEVIS, with updated information on students with an F or J visa.","SIUE offers online degree completion programs for any student that meets the admission requirements. This is a new initiative and only four programs are offered in this format at this time. However, we hope to grow to include additional programs. Details on online degree completion is available at www.siue.edu/academics/bachelors-degree-completion/.",No. We would recommend an external resource.,,,,,0
stetson,Stetson University,,,,,,,,,,,,,,,,Every year we receive applications from undocumented students.,,,,,,,,,,0
oldwestbury,Suny College Old Westbury,"Undocumented students who have been living in New York, attended a New York high school for two years, graduated and applied to SUNY Old Westbury within five years of graduation from that New York State high school could be eligible for in-state tuition. They would be given a residency form, and the Residency Committee, would determine their in-state tuition eligibility.","The decision to admit students for regular admissions and admission into the Honors College, etc. is the same, regardless of status.","There are no restrictions when a student is awarded study abroad scholarships, residence hall scholarships, etc. Although we do not offer many merit- based scholarships, one's status does not factor into the decision.","Scholarship awards vary from year to year. Specific scholarships have certain criteria and are sent, usually through email, to all students. If the student feels they are eligible, they should apply.",,"Status does not affect a student's application, unless they are applying to programs that are for New York State residents and permanent residents of U.S. citizens.","For admissions questions, you could contact anyone in our office. The requirements for regular admission are the same, regardless of a student's status.",Our advice would be the same for all students wishing to gain admission to SUNY Old Westbury. Take the most challenging courses you could handle and do well in them. Your letters of recommendation should come from people who know you well. Your personal statement should give us insight into why you'd like to come to SUNY Old Westbury.,A student only needs to reveal their status so we could determine tuition charges (in-state residency or not).,,,,,"For answers to questions about financial aid, the following could assist you:
www.fafsa.ed.gov
www.hesc.ny.gov
www.financialaid@oldwestbury.edu",,,,,,,,"The answers to your questions for student life could be found here:
https://www.oldwestbury.edu/diversity-inclusion/FAQ",,,,0
albany,Suny University Albany,,,,,,,,,"We will eventually know through the application process as you will not be able to provide us with a SSN or visa.

Given that the admissions process does not take citizenship status into account, I do not have any special advice specific to undocumented students. If you have questions specific to you, we are happy to help.",,,,,,,,,,,,,"To my knowledge we do not have any clubs specifically for undocumented students. That said we have hundreds of clubs and we are constantly adding. We have a number of cultural and social clubs which may be of interest.
https://myinvolvement.org/

We do not provide distance-learning options for any student, unless they are enrolled in our online Informatics program.

Regarding your questions surrounding campus police and ICE, please see below:

“It is department policy that we will not allow ICE officials access to a student or their information without a judicial warrant. UPD officers do not enforce Federal Immigration Law as exercised by Federal Officials.”",,,,0
susqu,Susquehanna University,,,,,,,,,,,,,,,,,,,,,,,,,,0
swarthmore,Swarthmore College,,,,"Not specifically, but all are eligible.",,,Students can reach out to any of our admissions deans or financial aid officers. Natalie Gainer in the Admissions office works with our undocumented students closely.,I see more and more students who decide not to apply because of their status. I hope students see our policies and understand that Swarthmore College welcomes undocumented and DACAmented students each year with the same considerations we give to domestic applicants.,,,,,,The CSS and accompanying materials and documents as required on the financial aid checklist (accessible after a student applies).,"Yes, there's an organized student group for undocumented students, as well as students with undocumented family members. All are welcome. We also have a professional staff member who serves as an advisor to our undocumented students.",,,,,,,,,"Please find more information here:

https://www.swarthmore.edu/admissions-aid/undocumented-students
https://www.swarthmore.edu/news-events/swarthmore-board-pledges-sanctuary-undocumented-students-all-community-members",Natalie Gainer,0
syr,Syracuse University,"Because undocumented students do not hold US citizenship or permanent residency, they are technically considered international applicants at Syracuse. We will manually waive the financial documentation, however, as undocumented students are not required to submit this for the purposes of obtaining an F1 visa. In most cases we waive the English proficiency requirement, but this is not automatic (it depends on how long students have been in the US and studying in English).","We have a limited amount of institutional funding available for undocumented students (as they are not able to apply for federal need-based financial aid). We typically admit a small number of undocumented students per year, then ask them to complete the CSS Profile so that we can assist them with this institutional funding.","See above – we don’t offer scholarships per se, rather institutional funding to assist accepted undocumented students in attending Syracuse University.",,,,"You are welcome to work with any member of our international admissions team! Jennifer Mathews is the Director of International Admissions (jmmathew@syr.edu). She is out of the office right now but again, you are welcome to connect with anyone on our team for further assistance.",Please be sure to visit https://diversity.syr.edu/resources/dacaundocumented-students/ for comprehensive resources for undocumented students at Syracuse.,"Yes, you should disclose your status in your application. It will help us to understand what documentation you need to submit (and don’t need to submit), and will allow our team to advise you throughout the admissions process.",,,,,"As noted above, undocumented students are eligible for institutional financial aid, but are not able to file the FAFSA to be considered for federal financial aid. We ask accepted undocumented students to complete the CSS profile (as it is available to non-US citizens) to determine how much institutional aid is appropriate. You wouldn’t need to submit any financial documentation at the time of application (see above – accepted students are asked to complete the CSS Profile).",,,,,,,,"Again, I would refer you to https://diversity.syr.edu/resources/dacaundocumented-students/ for a comprehensive look at all of the services available to undocumented students at Syracuse. I can tell you that we have a relatively small number of undocumented students on campus, along with a larger number of students who are from mixed-status families. I am not the best person to answer some of these questions on this topic, but I will be happy to forward your email to some of my colleagues who will be better able to assist you.",,,,0
talladega,Talladega College,,,,,,,,,"We accept undocumended students at our institution.
Undocumented students are classified as non traditional students",,,,,"They do not qualify for financial aid.
They can apply for academic or athletic scholarships.
Remaining balances must be paid in four portions throughout the year",,,,,,,,,,,,0
tntech,Tennessee Technological University,,,,,,,,,,None are available for any non-USA citizen,,,Some departments have endowed scholarships which would be eligible.,"They can apply for non-state / federal scholarships, they are very few",no,few,"No, must do such request via Tech attorney",no,"Only F-1 and J-1 visa holders, under their jurisdiction",Never happened,We cannot provide immigration law information-as we do not have any immigration attorney on staff or retainer.,,,"Tennessee Tech University is a STATE FUNDED institution and with that comes many Federally mandated items which we must follow. i.e. we cannot employ or support anyone who is undocumented is one of those items.



Undocumented students, have 100% the legal right to study like all residents of the USA, but as a State funded institution, we are not allowed to use State or Federal funds to cover the cost of tuition for any undocumented student.",,0
tamu,Texas Am University College Station,"It depends on where they live. If they live in Texas and graduated from a Texas High School, They can be considered domestic. All other undocumented students are intl",Yes,There are restrictions on few merit aid awards,Yes,,"It does not, as far as admission goes. It will affect their student life, however.",There is not within the admissions office. Most students reach out to the intl admissions office with questions.,To complete their application in its entirety.,Yes. Undoc students should reveal their status to receive appropriate help.,"Yes, state and institutional if they are meeting requirements. You must submit a financial aid application. https://financialaid.tamu.edu/Apply",,You can still be reviewed for scholarships by completing a scholarship application. For a list of available scholarships please see the link below. https://scholarships.tamu.edu/,"Please see the above bullet point.
Scholarships are usually based on need, GPA, High School rank, and test scores if you choose to submit. When reviewing students for scholarships we look at the whole student (academically and non-academically) when awarding our scholarships. Some of the criteria we look at includes but is not limited to test scores, GPA, academic achievement, rigorous course load, extracurricular activities, leadership, community service, honor, and awards (academic and non-academic), commitment and longevity, special talent, employment, achievement under difficult circumstance, and/or financial need.",You will complete the TASFA.,,,,,,,,,,,,1
txstate,Texas State University,,,,Not specifically for undocumented all students in the top 35% of their graduating class with an 1160 SAT or 24 ACT get merit scholarships.,,It won’t we have undocumented students in our student body.,,Use the resources that Texas State has and contact us if you have any questions!,All our support services are in this link https://www.sdi.txstate.edu/ProgramsResources/Immigrants.html,Yes! You will need to fill a TASFA for that information on that can be found here https://www.finaid.txstate.edu/undergraduate/how/TASFA.html,,,,Merit based scholarships are based off of the top 35% of your graduating class with an 1160 SAT or 24 ACT. We also have scholarships for students to apply for in the bobcat online scholarship system that deadline is December 15th every year and students have to be accepted first in order for them to apply to those scholarships. BOSS scholarships can be found here https://www.finaid.txstate.edu/scholarships/boss/,You can find our resources and clubs for students here! https://www.sdi.txstate.edu/ProgramsResources/Immigrants.html,"All students undocumented or not need to follow our application steps for freshman laid out here. https://www.admissions.txstate.edu/future-students/apply-for-admission.html

Any more questions you have regarding student life and legal situations should be sent to excellence@txstate.edu. they’ll be able to give you more in-depth answers!",,,,,,,,,https://www.sdi.txstate.edu/ProgramsResources/Immigrants.html,1
unm,The University Of New Mexico,,,,,,,,,,,,Yes,https://scholarship.unm.edu/,,,,,,,,,,,,,0
towson,Towson University,,,,,,,,,What other piece of advice would you give an undocumented student hoping,,,,,What would be the requirements for such scholarships and what would a,,,,,,,,"In accordance with University System of Maryland guidance, Towson University is committed to the following:

1. Towson University will not permit immigration enforcement authorities to enter campus for an enforcement action without a warrant unless there is an exigent circumstance (national security or terrorist matter, risk of death or physical harm, etc.) necessitating immediate action.

2. Towson University will not voluntarily partner with immigration authorities to assist with enforcement activities.

3. Towson University will not detain an immigrant at the request of immigration enforcement authorities.

4. Towson University will not request nor share immigration information obtained in connection with a campus arrest.

5. Towson University will not provide immigration enforcement authorities with student records without a lawfully issued subpoena or court order.",,,englprof@towson.edu,0
trincoll,Trinity College,"Undocumented students will be technically classified as international in our process, particularly for need-based financial aid consideration. However, we understand and review the application in the context of an undocumented student growing up and living in the US.","We are need-aware for all students. We meet full demonstrated need with financial aid packages for any students who are admitted, including undocumented students.",No.,No. Undocumented students are eligible for the same offering of merit scholarships as all other students.,,,Not at the moment – all our counselors can serve to answer questions from undocumented students.,"Taking advantage of an interview (in person or virtual) can be very helpful to your application. We are supportive of students from all backgrounds, and have advisors and a community that can support the needs of undocumented students on our campus.",,"Yes, though it is very competitive.",,,,CSS Profile. Students may connect with our Office of Financial Aid to see if the FAFSA would be helpful to submit depending on personal circumstances (some states will use the FAFSA to award state grants to undocumented students).,"We have many social justice advocacy groups on campus, not sure we have one specific for undocumented student advocacy.",Several every year.,No. Additional guidance on our policy for interactions with federal agents: https://www.trincoll.edu/dean-of-students/daca-undocumented-students/federal-immigration-agents/,No.,"No, unless compelled by court order: https://www.trincoll.edu/dean-of-students/daca-undocumented-students/",We have not yet encountered this situation.,Yes.,,,,,1
ucsb,University Of California Santa Barbara,,,,,,,,,"It's wonderful to hear that you are helping undocumented students with college access. At the University of California we too hope to have undocumented students feel like they are able to ask for help, apply and enroll on our campuses. Many of your questions are answered on our webpage for UC - https://undoc.universityofcalifornia.edu/.

In addition UCSB hosts application workshops and pre-recorded sessions for undocumented students - https://youtu.be/xfYEoUsQFJk. This page resides on our YouTube channel and is updated every summer prior to the application being posted. https://youtube.com/ucsb4me",,,,,"The financial aid page includes a link for ""dream scholars"" which is our term for UCSB undocumented students. https://www.finaid.ucsb.edu/dream-scholars. The process to apply for financial aid will depend on the undocumented student status we see from the UC application. California undocumented students who apply for AB 540 might have a California Dream Act application and financial aid awards. Undocumented students from outside of California might not see that same aid award. But we do have a link to our current student scholarships on the UCSB Dream Scholars resource page - http://www.sa.ucsb.edu/dreamscholars/home",,,,,,,,"When students arrive at UCSB they have access to a full time staff member who is our Undocumented Student Services Coordinatro. Students can apply to be interns in this office too and be awarded stipends for their work. See the workshops, legal resources and more on the Undocumented Student Services page - http://www.sa.ucsb.edu/dreamscholars/home.",,,,0
uca,University Of Central Arkansas,Domestic students,We are need blind for all domestic undergraduate students.,"There is no institutional, state or federal need-based aid for undocumented students","There is no institutional, state or federal need-based aid for undocumented students",,Students' undocumented status does not affect their application for admission,No,UCA is welcoming to all students,This status would not hurt their admission.,"There is no institutional, state or federal need-based aid for undocumented students",,Private Scholarships and or the institutional payment plan is available to the undocumented student.,Varies depending upon the scholarship. Undocumented students are eligible to set up a payment plan.,,,This is not information specifically tracked by this institution.,"We allow all federal and state agencies, as well as visitors, on campus without a warrant.","UCA PD does not proactively enforce immigration such as a random checking of student documentation, but is required to notify ICE if a student that has been arrested as an illegal status.",No,Academic advisors assist any student who is not able to physically participate in classes on campus.,No,,,,,0
uc,University Of Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,https://www.uc.edu/about/international/admissions/apply/DACA.html,,0
colorado,University Of Colorado Boulder,Domestic,"We are need-blind for all students, regardless of classification, residency, or citizenship.",No.,Yes.,,"It will not. If a student reveals this information, it can provide additional context for us to understand the unique challenges they have experienced. But, it’s not a factor we consider when making an admissions decision.","As a prospective applicant, students should work with their region-specific admissions counselor. Each counselor is trained to support undocumented students. This website might also be helpful - https://www.colorado.edu/admissions/apply/undocumented-students",The website above is helpful to guide students through the process.,The only time a student may need to provide further documentation is if they are trying to provide evidence of their ASSET eligibility - https://www.colorado.edu/financialaid/apply-aid/asset,"We provide need-based aid for undocumented students who qualify for CO in-state tuition under the Colorado ASSET bill: https://www.colorado.edu/financialaid/apply-aid/asset. Undocumented students who are not residents of CO, are not eligible for need-based aid.",,"https://www.colorado.edu/undocumentedstudentresources/student-resources. there are merit scholarships available to all students and we recommend students search for private banks who offer loans to undocumented or international students. Here are just a couple that we’re aware of:

· Citizens Bank requires that international student borrowers have a creditworthy cosigner who is a U.S. citizen or permanent resident: https://studentloanhero.com/featured/citizens-bank-student-loans-review/

· MPOWER Financing is one lender that doesn’t require DACA students to have a cosigner: https://studentloanhero.com/featured/mpower-financing-review/","Requirements are listed on the webpages mentioned in the previous questions, but of course important to note that scholarship are highly competitive.",We accept the new CO state application: https://cdhesnapprod.regenteducation.net/,,,,,,,,,,,,0
uccs,University Of Colorado Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,https://mosaic.uccs.edu/dreamer-student-resources-0,,1
udel,University Of Delaware,International students,"Yes, we are need-blind for undocumented students",No restrictions on merit scholarships.,No merit aid specifically for undocumented students.,,"Status will not affect how we review an applicant, although status will dictate how we code a student: In state, out of state, or international student.","If not on a universities’ front facing web pages, students can contact an institutions financial aid office to inquire whether or not an institution has funding for undocumented students.",,"Revealing status is one of the only ways a student will ever know if an institution offers financial assistance for undocumented students, but ultimately, it is up to the student whether or not to disclose. Once you have let us know about this status, we will seek discounted fee structure with our student financial services.",,,,,,,,,,,,,"Find more information here:
https://sites.udel.edu/studentlife/daca/",,"Counselling resources for undocu students
https://sites.udel.edu/counseling/daca/",,1
du,University Of Denver,,,,,,,,,,,,,,,,,,,,,,,,"I would recommend connecting with an admission counselor and setting up a virtual appointment or a phone call to discuss. This way all your questions can be addressed either on a zoom or phone call. Undocumented students are considered international applicants at the University of Denver, but the admission counselor is determined by where a student’s high school is located. I have also included links below that may be beneficial to you:
<a href=”https://www.du.edu/admission-aid/undergraduate/visit”>Virtual Visit – Chat with an Admission Counselor</a> – this is where you can determine the admission counselor. We do a lot of our undocumented student information over the phone for privacy purposes.
<a href=”https://www.du.edu/admission-aid/undergraduate/undocumented-students”>Undergraduate Admission - Undocumented Students</a>
<a href=”https://www.du.edu/admission-aid/undergraduate/undocumented-students”>Undocumented Student Financial Aid</a>",,0
hawaii,University Of Hawaii At Hilo,,,,,,,,,https://www.hawaii.edu/undocumented-students/,,,,,"Undocumented students are ineligible for federal student aid. However, go to https://www.hawaii.edu/undocumented-students/ to find more information on resources you may want to look into.  You may also want to visit our scholarships page (https://www.hawaii.edu/fas/info/scholarships.php) to see if any scholarships are still open. Although many scholarship deadlines have passed, you may still browse through the resources for any scholarships that are still available. You may ""stack"" scholarships up to your cost of attendance as permitted by the respective scholarship providers. Please note that each scholarship's criteria will vary. Some may have citizenship requirements while other scholarships may not. We are unable to provide a statistic for your chances of receiving scholarships.


Per the studentaid.gov website (https://studentaid.gov/understand-aid/eligibility/requirements/non-us-citizens), Yes, there may be some scholarships and other aid you can get.
•	Check with your country’s embassy or a consulate here in the U.S. or with the appropriate government office back in your country to see what they offer.
•	Try the U.S. Department of Labor’s free online scholarship search (https://www.careeronestop.org/toolkit/training/find-scholarships.aspx).
•	Ask the college or career school you plan to attend whether they offer any aid for students like you. (*see links above for more information*)
•	Check out the Education USA (https://educationusa.state.gov/find-advising-center) website.","We have no knowledge of any group on our campus that has organized themselves specifically advocate for undocumented students.  Since we do not track undocumented students, we have not datas related to whether or not they are engaged with any student groups or clubs, including those that advocate for students.  Our institution has groups that engage in student advocacy.  They may or may not decided to advocate for undocumented students.  While we do not have the document on hand, approximately 8-10 years ago, the undergraduate student government passed a resolution in support of undocumented students.  For more information, please write directly to the Associated Students of the University of Hawaii at Manoa at asuh@hawaii.edu.  I could not locate the resolution from what they currently have posted on their website.  If the document is desired, it would need to be requested and pulled from their archives.",,,,,,,,,,,0
uh,University Of Houston,,,,,,,,,"Undocumented students apply as domestic students. Please see the following link for more information on admissions:
https://www.uh.edu/caps/resources/undocumented-students/daca-information/index

Please visit the following links for more information:
CougarSAFE: https://uh.edu/cougarsafe/
Senate Bill 4 Information: https://www.uh.edu/caps/resources/senate-bill-4/
Distance Learning Information: https://uh.edu/online/students/student-types.php",,,,,,,,,,,,,,,,,0
